,observation_date,percent_manufacturing,real_wages_manufacturing,real_wages_all,gini,cpi
0,1964-01-01,0.21719000497539942,7.692307692307692,8.080155138978668,37.4,2.38
1,1964-02-01,0.21658434572045732,7.699773536072469,8.087997411840828,37.4,2.38
2,1964-03-01,0.21688006271230728,7.692307692307692,8.112475759534583,37.4,2.38
3,1964-04-01,0.21542429784098044,7.754442649434572,8.1421647819063,37.4,2.4
4,1964-05-01,0.21543701887049527,7.74693350548741,8.134280180761781,37.4,2.4
5,1964-06-01,0.21687753313615948,7.771686552724928,8.158658497258948,37.4,2.41
6,1964-07-01,0.21760927034393962,7.769181173436493,8.188265635074146,37.4,2.41
7,1964-08-01,0.21811318690336168,7.793880837359097,8.21256038647343,37.4,2.42
8,1964-09-01,0.21930686314640468,7.850707850707852,8.236808236808239,37.4,2.44
9,1964-10-01,0.21581546352376274,7.712082262210797,8.19408740359897,37.4,2.4
10,1964-11-01,0.21963267199738012,7.7539250240307585,8.202499198974687,37.4,2.42
11,1964-12-01,0.22018648335942284,7.808,8.256,37.4,2.44
12,1965-01-01,0.22081311421930433,7.832480818414322,8.248081841432226,36.8,2.45
13,1965-02-01,0.22057489472900335,7.864450127877237,8.28005115089514,36.8,2.46
14,1965-03-01,0.22113889302086573,7.88885340146918,8.33599488981156,36.8,2.47
15,1965-04-01,0.22118338093441828,7.871255576800511,8.2855321861058,36.8,2.47
16,1965-05-01,0.22126876695404615,7.909783989834816,8.32274459974587,36.8,2.49
17,1965-06-01,0.22246411869053379,7.877254033533693,8.320151850680164,36.8,2.49
18,1965-07-01,0.22296384478538275,7.884737175427486,8.328055731475617,36.8,2.49
19,1965-08-01,0.2242414495550552,7.923930269413629,8.367670364500793,36.8,2.5
20,1965-09-01,0.22552414700276502,7.938013915243516,8.380771663504111,36.8,2.51
21,1965-10-01,0.22534006787995403,7.9620853080568725,8.404423380726698,36.8,2.52
22,1965-11-01,0.22677380108827894,7.937007874015749,8.409448818897637,36.8,2.52
23,1965-12-01,0.22706510593530688,7.943485086342228,8.383045525902668,36.8,2.53
24,1966-01-01,0.22800787380629373,7.9673776662484315,8.406524466750314,37.1,2.54
25,1966-02-01,0.2306481308535902,7.980049875311722,8.385286783042394,37.1,2.56
26,1966-03-01,0.23176823176823177,7.95525170913611,8.39030453697949,37.1,2.56
27,1966-04-01,0.23251214526533753,7.992565055762081,8.395291201982651,37.1,2.58
28,1966-05-01,0.2336076981192095,7.975270479134466,8.408037094281298,37.1,2.58
29,1966-06-01,0.2344177561568866,7.967881408276714,8.431130327362569,37.1,2.58
30,1966-07-01,0.23449878525404036,8.012326656394453,8.443759630200308,37.1,2.6
31,1966-08-01,0.23514714777897588,7.993874425727412,8.422664624808576,37.1,2.61
32,1966-09-01,0.23516882297254654,8.030534351145038,8.427480916030532,37.1,2.63
33,1966-10-01,0.23564613708841323,8.036529680365296,8.432267884322679,37.1,2.64
34,1966-11-01,0.23470826262889963,8.059610705596105,8.454987834549877,37.1,2.65
35,1966-12-01,0.23483514046006707,8.019441069258809,8.44471445929526,37.1,2.64
36,1967-01-01,0.23529795534910425,8.054711246200608,8.51063829787234,36.9,2.65
37,1967-02-01,0.2349420420538153,8.09090909090909,8.515151515151516,36.9,2.67
38,1967-03-01,0.23503825594801384,8.09090909090909,8.515151515151516,36.9,2.67
39,1967-04-01,0.23285619391223933,8.09667673716012,8.519637462235648,36.9,2.68
40,1967-05-01,0.23226915712555196,8.126888217522659,8.549848942598187,36.9,2.69
41,1967-06-01,0.23051637116604115,8.078078078078079,8.558558558558559,36.9,2.69
42,1967-07-01,0.22957761024475887,8.113772455089821,8.562874251497005,36.9,2.71
43,1967-08-01,0.2304019971175623,8.149253731343284,8.597014925373134,36.9,2.73
44,1967-09-01,0.22867938107232819,8.125,8.57142857142857,36.9,2.73
45,1967-10-01,0.2276389492799959,8.130563798219583,8.575667655786349,36.9,2.74
46,1967-11-01,0.2300136844393856,8.112094395280236,8.584070796460178,36.9,2.75
47,1967-12-01,0.2296441630250602,8.147058823529411,8.588235294117647,36.9,2.77
48,1968-01-01,0.2325401531361984,8.240469208211143,8.621700879765395,36.3,2.81
49,1968-02-01,0.23078103029528313,8.24561403508772,8.625730994152047,36.3,2.82
50,1968-03-01,0.2308704763851973,8.279883381924199,8.658892128279886,36.3,2.84
51,1968-04-01,0.2316468634214897,8.284883720930234,8.69186046511628,36.3,2.85
52,1968-05-01,0.2306999632199069,8.318840579710145,8.695652173913043,36.3,2.87
53,1968-06-01,0.23038422649140547,8.299711815561958,8.674351585014408,36.3,2.88
54,1968-07-01,0.2312903634291503,8.280802292263612,8.681948424068768,36.3,2.89
55,1968-08-01,0.23161741381279263,8.257142857142858,8.685714285714285,36.3,2.89
56,1968-09-01,0.2314540059347181,8.31908831908832,8.746438746438745,36.3,2.92
57,1968-10-01,0.23181224893236857,8.328611898016998,8.725212464589235,36.3,2.94
58,1968-11-01,0.23161509424434093,8.361581920903955,8.757062146892656,36.3,2.96
59,1968-12-01,0.23168015302719505,8.342696629213483,8.735955056179774,36.3,2.97
60,1969-01-01,0.2317820001760497,8.375350140056021,8.739495798319327,36.0,2.99
61,1969-02-01,0.23122008522975793,8.379888268156426,8.77094972067039,36.0,3.0
62,1969-03-01,0.23174615067620724,8.337950138504155,8.753462603878116,36.0,3.01
63,1969-04-01,0.23111321483289943,8.347107438016529,8.760330578512397,36.0,3.03
64,1969-05-01,0.23198751950078003,8.351648351648352,8.763736263736265,36.0,3.04
65,1969-06-01,0.2309903836621394,8.333333333333332,8.770491803278688,36.0,3.05
66,1969-07-01,0.2306407512341173,8.369565217391305,8.75,36.0,3.08
67,1969-08-01,0.23138855325130075,8.401084010840108,8.78048780487805,36.0,3.1
68,1969-09-01,0.2290564645097798,8.409703504043128,8.787061994609163,36.0,3.12
69,1969-10-01,0.228397182614671,8.39142091152815,8.793565683646113,36.0,3.13
70,1969-11-01,0.2268756833789943,8.373333333333335,8.799999999999999,36.0,3.14
71,1969-12-01,0.2264652553170636,8.355437665782492,8.779840848806366,36.0,3.15
72,1970-01-01,0.2247349995730718,8.337730870712402,8.733509234828496,36.6,3.16
